row ID,row m/z,row retention time,20220601_100AGC_pluskal_mce_1D1_A1_id.mzML Peak area,VGF141_H06_pos.mzML Peak area,VGF141_A07_pos.mzML Peak area,VGF141_G06_pos.mzML Peak area,VGF142_A05_pos.mzML Peak area,VGF142_B03_pos.mzML Peak area,ThyW01_500ppm_cent_pos.mzML Peak area,Thy50_01_500ppm_cent_pos.mzML Peak area,ThyE01_500ppm_cent_pos.mzML Peak area,ThyW02_500ppm_cent_pos.mzML Peak area,ThyE02_500ppm_cent_pos.mzML Peak area,Thy50_02_500ppm_cent_pos.mzML Peak area,D Score,MD Score,type
11906,363.1793097,2.9632347,0.0,4835.249,0.0,0.0,11055.422,0.0,176739.92,142927.11,0.0,0.0,0.0,0.0,13,0,D
16023,389.1958773,3.7044392,0.0,0.0,0.0,0.0,0.0,0.0,12862.954,9967.224,0.0,130069.8,55026.176,68151.54,10,0,D
16070,363.180253,3.714347,0.0,0.0,0.0,0.0,0.0,0.0,62378.324,36112.01,0.0,0.0,0.0,0.0,11,0,D
18421,363.1795275,4.1590858,0.0,0.0,0.0,0.0,0.0,0.0,57382.934,54951.836,0.0,7286.15,0.0,0.0,10,0,D
18806,528.2803536,4.209567,0.0,0.0,0.0,0.0,0.0,0.0,44340.56,44351.348,0.0,0.0,0.0,0.0,6,0,D
21232,366.2274214,4.630293,0.0,0.0,0.0,0.0,0.0,0.0,37103.223,42161.28,0.0,0.0,0.0,0.0,6,0,D
24271,512.2853938,5.2470675,0.0,0.0,0.0,0.0,0.0,0.0,30889.11,36790.258,0.0,0.0,0.0,0.0,7,0,D
27408,451.2115372,5.848871,0.0,0.0,0.0,0.0,0.0,0.0,34797.914,41644.293,0.0,0.0,0.0,0.0,7,0,D
27643,487.232564,5.906701,0.0,5368.4355,18884.115,0.0,0.0,13896.364,48540.445,56320.75,0.0,0.0,0.0,0.0,14,0,D
28449,315.1955016,6.0343122,0.0,0.0,0.0,0.0,0.0,0.0,74575.086,102702.35,0.0,0.0,0.0,0.0,7,0,D
29308,315.1936736,6.2211156,0.0,0.0,0.0,0.0,3220.9292,10121.553,80818.914,92730.54,0.0,0.0,0.0,0.0,8,0,D
